Name,Symbol,Price Usd,volume 24h,Volume 30d,Market Cap,Dominance,Year Till Date Price Change Percentage,CMC Rank,Market Pair Count,Circulating Supply,Total Supply,Last Updated
REI Network,REI,0.037155217,5120356.632,1676208158,35297455.73,0.0032,64.389,504,18,950000000,1000000000,2023-02-18T05:11:00.000Z
VerusCoin,VRSC,0.486871362,54682.96673,1592362.242,35283368.34,0,43.7994,505,10,72469590.81,72469590.81,2023-02-18T05:11:00.000Z
Shiden Network,SDN,0.595826912,824224.6726,6815528.421,35051032.65,0,76.4192,506,23,58827541.9,71394391.64,2023-02-18T05:11:00.000Z
VIDT DAO,VIDT,0.045517434,4468040.519,143885959.9,35048942.06,0.0031,76.1784,507,18,770011370,1000000000,2023-02-18T05:11:00.000Z
Bitcicoin,BITCI,0.004520628,825005.8922,18884167.22,35035544.44,0,96.5855,508,64,7750149648,29913670123,2023-02-18T05:11:00.000Z
QuickSwap,QUICK,67.89236341,6181465.48,75604861.16,34896471.12,0.0031,49.4577,509,272,513997,1000000,2023-02-18T05:11:00.000Z
Gas,GAS,3.444394756,61606441.75,1845993824,34886122.1,0.0031,71.8395,510,52,10128375.11,17190378,2023-02-18T05:11:00.000Z
Tranchess,CHESS,0.303211031,9038201.654,336303299.5,34849300.6,0.0031,65.3212,511,64,114934145,300000000,2023-02-18T05:11:00.000Z
BitShares,BTS,0.011590692,853635.4873,177015964.2,34711854.22,0.0031,37.7251,512,52,2994804385,2994786934,2023-02-18T05:11:00.000Z
DXdao,DXD,696.7877957,7570.545152,208489.3104,34365574.09,0,27.5404,513,16,49320,148977,2023-02-18T05:11:00.000Z
DEAPcoin,DEP,0.004729049,3982023.872,115223723.8,34196885.94,0,87.6656,514,55,7231239464,30000000000,2023-02-18T05:11:00.000Z
Moss Coin,MOC,0.089513084,3521802.158,101318416.8,33981311.18,0,63.643,515,2,379623955.6,500000000,2023-02-18T05:11:00.000Z
KardiaChain,KAI,0.007705606,975762.663,69819104.34,33968622.15,0.003,24.4994,516,61,4408300000,5000000000,2023-02-18T05:11:00.000Z
YooShi,YOOSHI,9.02E-08,171401.3187,2894835.464,33686414.11,0,31.0446,517,35,3.73449E+14,1E+15,2023-02-18T05:11:00.000Z
Euro Coin,EUROC,1.070656353,357260.7773,10358232.25,33583494.43,0,-0.0802,518,18,31367202.3,31367202.3,2023-02-18T05:11:00.000Z
Neblio,NEBL,1.695260266,1576860.259,191203280.6,33567907.48,0,30.0573,519,17,19801034.78,19801034.78,2023-02-18T05:11:00.000Z
Step App,FITFI,0.025010237,5881218.185,243713124.9,33511529.09,0,10.8959,520,44,1339912473,5000000000,2023-02-18T05:11:00.000Z
Alpha Quark Token,AQT,1.256952146,36059431.65,547788672.6,33486190.61,0,75.1328,521,13,26640784,30000000,2023-02-18T05:11:00.000Z
Forta,FORT,0.144257641,354536.3319,11652087.6,33391449.52,0.003,12.6578,522,18,231470924,1000000000,2023-02-18T05:11:00.000Z
VAIOT,VAI,0.16617239,4065052.952,136150305.2,33172423.38,0,241.1696,523,11,199626565.2,400000000,2023-02-18T05:11:00.000Z
Sentinel Protocol,UPP,0.072051523,11919713.92,341947120.1,33131798.34,0,54.6302,524,4,459834811.3,500000000,2023-02-18T05:11:00.000Z
Divi,DIVI,0.01008578,55311.22728,1716518.852,33095622.64,0,-14.5764,525,12,3281414248,3072008789,2023-02-18T05:11:00.000Z
Efforce,WOZX,0.062747591,390515.3661,41890811.07,33076484.16,0,41.6698,526,15,527135519.4,1000000000,2023-02-18T05:11:00.000Z
Circuits of Value,COVAL,0.018444152,410053.5702,50469209.85,32919831.8,0,134.4107,527,32,1784838484,1786752136,2023-02-18T05:11:00.000Z
Streamr,DATA,0.042694436,3123048.621,135373739.6,32751835.49,0.0029,87.821,528,70,767121867.3,861800041.8,2023-02-18T05:11:00.000Z
Venus USDT,vUSDT,0.02203031,0,0,32740414.38,0,0.5404,529,1,1486153169,1486153169,2023-02-18T05:11:00.000Z
Neopin,NPT,1.204948226,595525.9468,57888908.34,32666422.33,0,90.8894,530,10,27110229,1000000000,2023-02-18T05:11:00.000Z
CONUN,CON,0.011250869,276236.2855,7894649.531,32598332.92,0,-5.2231,531,2,2897405859,5000000000,2023-02-18T05:11:00.000Z
Bella Protocol,BEL,0.673771865,9087427.596,527654894.1,32341049.53,0.0029,71.3973,532,62,48000000,100000000,2023-02-18T05:11:00.000Z
XMON,XMON,21376.6187,238853.564,11640031.14,31956287.16,0,75.3269,533,24,1494.91777,10000,2023-02-18T05:11:00.000Z
Chainge,CHNG,0.079743946,146755.4069,6757447.844,31885940.51,0,20.431,534,7,399854061,716725414,2023-02-18T05:11:00.000Z
Firo,FIRO,2.611936411,2972694.946,2091297857,31494239.64,0.0028,69.2791,535,58,12057812.55,12427854.74,2023-02-18T05:11:00.000Z
IRISnet,IRIS,0.021484407,2217971.146,226308075.7,31048338.73,0.0028,67.8543,536,36,1445156854,2112575035,2023-02-18T05:11:00.000Z
Unifi Protocol DAO,UNFI,6.266363735,14775771.32,249544700.9,30989715.49,0.0028,66.1376,537,57,4945406.427,8629041.517,2023-02-18T05:11:00.000Z
GMT Token,GMT,0.1173766,603717.2415,28538616.63,30938250.31,0,38.8818,538,28,263581074,412658898,2023-02-18T05:11:00.000Z
FC Barcelona Fan Token,BAR,4.822420962,4095993.598,172147942.4,30886820.21,0,37.4443,539,28,6404837,40000000,2023-02-18T05:11:00.000Z
Rarible,RARI,2.134119547,411732.0712,11638815.61,30818873.06,0.0028,37.1206,540,65,14441024.68,25000000,2023-02-18T05:11:00.000Z
Bitcoin Diamond,BCD,0.164944139,163283.2386,2895523.984,30760910.42,0,65.379,541,28,186492898,189492898,2023-02-18T05:11:00.000Z
USDK,USDK,1.07375913,76256038.59,636773204.8,30709588.43,0,4.9381,542,49,28600072,28600072,2023-02-18T05:11:00.000Z
PARSIQ,PRQ,0.171033315,1903678.615,55835361.95,30679106.24,0,115.1376,543,35,179375031.8,310256872,2023-02-18T05:11:00.000Z
CoinEx Token,CET,0.042568697,411663.6172,11431797.27,30165607.97,0,3.8199,544,7,708633582.2,4200000000,2023-02-18T05:11:00.000Z
Tellor,TRB,17.700978,9468426.508,265132903.3,30152585.04,0.0027,45.8004,545,76,1703441.756,2441539,2023-02-18T05:11:00.000Z
Contentos,COS,0.007232812,19626323.77,850779666.4,30095043.82,0.0027,64.1479,546,32,4160904880,9918149551,2023-02-18T05:11:00.000Z
HUSD,HUSD,0.134146411,4444.67787,140969.1626,29860167.61,0,-5.3786,547,127,222593861.5,222593861.5,2023-02-18T05:11:00.000Z
GNY,GNY,0.155113854,670277.0121,19816092.95,29840284.64,0,1245.0723,548,8,192376657,400000000,2023-02-18T05:11:00.000Z
Pitbull,PIT,7.39E-10,2744642.189,66020741.3,29687090.03,0.0027,95.5785,549,43,4.02E+16,1.00E+17,2023-02-18T05:11:00.000Z
Boson Protocol,BOSON,0.267061355,881388.6589,20359557.52,29639160.9,0.0026,49.1285,550,37,110982590.2,200000000,2023-02-18T05:11:00.000Z
Manchester City Fan Token,CITY,5.563749875,7794929.428,239440127.4,29614983.77,0.0026,38.7763,551,36,5322846,20000000,2023-02-18T05:11:00.000Z
Findora,FRA,0.004373158,1037971.145,30690431.08,29599321.43,0,270.5258,552,8,6768409044,21000000000,2023-02-18T05:11:00.000Z
FIO Protocol,FIO,0.039916952,1944039.922,63560943.51,29529503.8,0.0026,46.4701,553,28,739773505.3,839242769.8,2023-02-18T05:11:00.000Z
RFOX,RFOX,0.022436101,2396609.206,153474790.6,29436181.15,0.0026,306.9995,554,38,1312000760,2000000000,2023-02-18T05:11:00.000Z
Guild of Guardians,GOG,0.085403659,497813.3968,13713238.72,29404365.94,0.0026,46.8439,555,20,344298667,1000000000,2023-02-18T05:11:00.000Z
S.S. Lazio Fan Token,LAZIO,3.411436308,6853733.564,227923071.3,29338352.25,0.0026,15.476,556,64,8600000,40000000,2023-02-18T05:11:00.000Z
Kava Lend,HARD,0.216673,7328174.398,823125537.4,29205715.09,0.0026,54.0868,557,26,134791668,200000000,2023-02-18T05:11:00.000Z
Cratos,CRTS,0.000592185,9053511.883,754613456,29194535.33,0,106.7268,558,22,49299676745,1E+11,2023-02-18T05:11:00.000Z
Reserve,RSV,1.009888798,52163.65682,1610616.723,29135965.2,0,7.5192,559,17,28850666.79,28850666.79,2023-02-18T05:11:00.000Z
Velo,VELO,0.005842713,34638223.92,463576707.4,29120982.6,0,182.2186,560,24,4984154058,23999998948,2023-02-18T05:11:00.000Z
Dogechain,DC,0.001787669,2457876.235,81046044.2,28927368.22,0,80.1994,561,44,16181608913,1.98898E+11,2023-02-18T05:11:00.000Z
NvirWorld,NVIR,0.030377672,1232914.26,39926336.72,28913451.67,0,-6.8279,562,11,951799443.1,10698749757,2023-02-18T05:11:00.000Z
NULS,NULS,0.285164585,2803483.404,81142998.06,28910420.41,0.0026,53.6684,563,70,101381524.7,121209667,2023-02-18T05:11:00.000Z
Pendle,PENDLE,0.144709089,460618.6754,18424190.17,28812223.64,0,215.5413,564,28,199104450,188700000,2023-02-18T05:11:00.000Z
TROY,TROY,0.003419506,1393818.617,120140465.9,28638364.85,0,25.2674,565,29,8375000000,10000000000,2023-02-18T05:11:00.000Z
PIVX,PIVX,0.398206035,2617413.481,153295719.1,28488710.08,0.0025,121.6529,566,19,71542637.64,71542637.64,2023-02-18T05:11:00.000Z
Astrafer,ASTRAFER,2.021265261,84465.98052,2611084.213,28407106.56,0,30.2526,567,31,14054121,888077888,2023-02-18T05:11:00.000Z
Swarm,BZZ,0.585134857,1418714.528,19531203.79,28246528.14,0,37.1257,568,39,48273535.25,63225938.43,2023-02-18T05:11:00.000Z
Venus XVS,vXVS,0.124887206,0,0,28028925.94,0,60.6187,569,1,224433925,224433925,2023-02-18T05:11:00.000Z
Metahero,HERO,0.005486706,708858.1957,29243787.46,27958298.3,0,62.067,570,40,5095643290,9766213274,2023-02-18T05:11:00.000Z
Æternity,AE,0.076521953,149174.7265,6339114.599,27944093.94,0,12.3036,571,32,365177478.5,396262883.7,2023-02-18T05:11:00.000Z
MarsDAO,MDAO,0.395152668,3198737.521,86497470.37,27897391.06,0,53.9707,572,11,70599019.82,96647851.59,2023-02-18T05:11:00.000Z
ONBUFF,ONIT,0.036205496,842065.8538,54555550.33,27880964.06,0,50.8288,573,7,770075466,770075466,2023-02-18T05:11:00.000Z
ApolloX,APX,0.063218598,1583095.255,55452046.76,27687509.46,0,126.7563,574,27,437964626.2,3979781737,2023-02-18T05:11:00.000Z
Ambire AdEx,ADX,0.194070129,5223594.065,1013035384,27666158.88,0.0025,75.0825,575,50,142557533.7,150000000,2023-02-18T05:11:00.000Z
Tokenlon Network Token,LON,0.617176523,2079302.323,35375190.62,27500993.77,0,7.8336,576,47,44559364.72,116298814.9,2023-02-18T05:11:00.000Z
Harvest Finance,FARM,40.35392489,3073813.299,117665968.3,27488076.99,0.0025,37.4984,577,60,681174.8067,700442.5,2023-02-18T05:11:00.000Z
TokenPocket,TPT,0.007928142,90157.46125,3089840.703,27482566.3,0,33.9886,578,29,3466457400,3466457400,2023-02-18T05:11:00.000Z
Santos FC Fan Token,SANTOS,6.023683211,13547422.69,355220389.8,27407758.61,0.0024,37.3063,579,61,4550000,30000000,2023-02-18T05:11:00.000Z
H2O DAO,H2O,0.121498951,207496.7143,6128324.911,27344830.62,0,5.5569,580,5,225062277,1000000000,2023-02-18T05:11:00.000Z
ICHI,ICHI,4.237577104,435482.1371,14266202.47,27292670.53,0,7.4529,581,58,6440631.015,10000000,2023-02-18T05:11:00.000Z
Drep [new],DREP,0.55742161,35567475.67,3333524207,27167335.72,0,76.584,582,32,48737500,100000000,2023-02-18T05:11:00.000Z
Wing Finance,WING,8.615200294,7071796.133,271316618.6,27073366.26,0,69.4713,583,38,3142511.53,3427418.781,2023-02-18T05:11:00.000Z
KILT Protocol,KILT,0.54780508,128394.8683,4019530.325,27072603.75,0,14.978,584,8,49420140,151251450,2023-02-18T05:11:00.000Z
DeGate,DG,0.144877574,34113.21541,960085.9398,26996782.32,0,54.5013,585,7,186342038,1000000000,2023-02-18T05:11:00.000Z
BSCPAD,BSCPAD,0.339343462,1437349.611,26034076.23,26879945.69,0,329.9076,586,16,79211621,175600000,2023-02-18T05:11:00.000Z
RAI Finance,SOFI,0.09518073,273655.3152,7633823.779,26726058.87,0,19.3926,587,10,280792750,1000000000,2023-02-18T05:11:00.000Z
Decentral Games,DG,0.041413263,286832.5547,39031788.78,26682082.76,0.0024,94.8184,588,24,644288354.6,645288354.6,2023-02-18T05:11:00.000Z
Splintershards,SPS,0.028596932,208169.0624,15305807.73,26671478.06,0.0024,27.0361,589,37,932669219.5,1039139328,2023-02-18T05:11:00.000Z
Unibright,UBT,0.176739537,40416.01326,958619.0974,26510930.43,0,18.9266,590,51,149999999.2,150000000,2023-02-18T05:11:00.000Z
Ellipsis,EPS,0.036442668,292488.3277,8285563.568,26373616.2,0,34.8284,591,55,723701571.8,723701571.8,2023-02-18T05:11:00.000Z
BurgerCities,BURGER,0.729110421,7845582.565,697109703.7,26142254.08,0.0023,43.4298,592,41,35854999.92,35854999.92,2023-02-18T05:11:00.000Z
Akropolis,AKRO,0.006197883,128373651.4,201435005.6,25972566.97,0.0023,107.1591,593,76,4190554814,5000000000,2023-02-18T05:11:00.000Z
Alitas,ALT,0.216217215,17063.84865,484502.5615,25946065.83,0,20.6786,594,6,120000000,1000000000,2023-02-18T05:11:00.000Z
MANTRA,OM,0.043293747,4869459.781,329403457.1,25815175.03,0.0023,54.0619,595,64,596279523.2,888888888,2023-02-18T05:11:00.000Z
Hegic,HEGIC,0.036625504,85107.93021,3070377.261,25774368.8,0,132.0359,596,37,703727349.2,3012009888,2023-02-18T05:11:00.000Z
Maro,MARO,0.033251975,1571850.1,42850855.38,25707747.66,0.0023,98.0306,597,2,773119429.8,980705065.1,2023-02-18T05:11:00.000Z
Maple,MPL,5.782595258,385469.5587,20758354.26,25547422.51,0.0023,103.4124,598,48,4417985.588,10000000,2023-02-18T05:11:00.000Z
RMRK,RMRK,2.686247132,382800.5117,10949829.1,25519347.75,0,52.8819,599,16,9500000,10000000,2023-02-18T05:11:00.000Z
Phantasma,SOUL,0.233145167,179958.6729,5487304.36,25384510.28,0,50.5502,600,17,108878561,105220281,2023-02-18T05:11:00.000Z
Hermez Network,HEZ,5.394456881,523743.6042,13799995.05,25353947.34,0,34.6295,601,13,4700000,100000000,2023-02-18T05:11:00.000Z
Paris Saint-Germain Fan Token,PSG,6.599387976,3183963.978,162931341.2,25352868.79,0.0023,21.8057,602,39,3841700,20000000,2023-02-18T05:11:00.000Z
TerraKRW,KRT,0.000654671,0,0,25080843.27,0,46.2624,603,64,38310621185,38311350294,2023-02-18T05:11:00.000Z
VITE,VITE,0.026367813,1976267.396,215502707.5,24915972.47,0.0022,40.6545,604,53,944938919.9,1060262575,2023-02-18T05:11:00.000Z
district0x,DNT,0.041520173,1768521.308,575720879.2,24912103.59,0.0022,120.0415,605,44,600000000,1000000000,2023-02-18T05:11:00.000Z
Auto,AUTO,328.4944455,17340137.47,926437527,24892739.83,0,47.8682,606,58,75778.2671,78173.38,2023-02-18T05:11:00.000Z
Vibing,VBG,0.197091718,70339.25265,2010847.617,24882829.41,0,97.7966,607,3,126250000,1000000000,2023-02-18T05:11:00.000Z
Cream Finance,CREAM,13.31504023,4354462.553,44756433.42,24708174.25,0.0022,26.7815,608,63,1855659,2924546,2023-02-18T05:11:00.000Z
Offshift,XFT,3.514431741,1088240.21,29842250.75,24701058.28,0,235.6667,609,14,7028464.372,10000000,2023-02-18T05:11:00.000Z
SelfKey,KEY,0.004653249,6420994.43,1453615782,24685341.91,0.0022,62.2408,610,49,5304969446,5999999954,2023-02-18T05:11:00.000Z
FC Porto Fan Token,PORTO,3.13071355,7562994.006,259851017.4,24419565.69,0.0022,25.8975,611,57,7800000,40000000,2023-02-18T05:11:00.000Z
Hathor,HTR,0.100606045,452796.3146,6926193.362,24414427.92,0,131.7881,612,9,242673568,918618568,2023-02-18T05:11:00.000Z
Ellipsis,EPX,0.00037411,3163634.717,74783680.42,24113989.8,0,28.5633,613,35,64456892598,1.32E+11,2023-02-18T05:11:00.000Z
Zebec Protocol,ZBC,0.013665112,21964138.98,377282718.2,24098239.31,0,12.7671,614,37,1763486436,1763486436,2023-02-18T05:11:00.000Z
Proton,XPR,0.00171751,1017373.545,35801871.55,24074763.18,0.0022,25.5008,615,35,14017250229,28030113851,2023-02-18T05:11:00.000Z
Presearch,PRE,0.060661834,151629.2772,4728278.035,24057175.02,0,83.3204,616,18,396578435,500000000,2023-02-18T05:11:00.000Z
Chimpion,BNANA,0.754020044,115639.8817,3490310.767,23923086.01,0,49.1018,617,5,31727387.35,1E+11,2023-02-18T05:11:00.000Z
AirDAO,AMB,0.019658226,3182131.468,342568035.4,23895847.05,0,65.2603,618,16,1215564757,1523665361,2023-02-18T05:11:00.000Z
GALAXIA,GXA,0.012629873,2904568.012,80442826.19,23787941.74,0,133.4491,619,5,1883466416,10000000000,2023-02-18T05:11:00.000Z
Ultiledger,ULT,0.008380371,0,0,23770332.98,0,-3.8321,620,9,2836429509,4500000000,2023-02-18T05:11:00.000Z
Yield App,YLD,0.114722856,286819.9647,9277989.595,23523941.62,0,58.9262,621,25,205050174.6,300000000,2023-02-18T05:11:00.000Z
Elastos,ELA,1.144818875,289098.0624,15114550.62,23293478.78,0,41.505,622,27,20346868.21,24940211.89,2023-02-18T05:11:00.000Z
DxChain Token,DX,0.00046347,18018.90141,517600.1727,23173524.66,0,96.575,623,6,50000000000,1E+11,2023-02-18T05:11:00.000Z
Frontier,FRONT,0.255435413,4144075.38,273063758,22989187.16,0.0021,41.0553,624,75,90000000,100000000,2023-02-18T05:11:00.000Z
Fusion,FSN,0.309531451,304113.7804,75048049.2,22880708.95,0.002,8.6636,625,26,73920465.5,70354038.92,2023-02-18T05:11:00.000Z
Tokemak,TOKE,1.393960525,358883.2755,12367824.87,22742366.99,0,68.4375,626,42,16314929,100000000,2023-02-18T05:11:00.000Z
Nakamoto Games,NAKA,0.313968888,1131645.177,41188711.7,22718951.04,0,261.5738,627,16,72360517,180000000,2023-02-18T05:11:00.000Z
Namecoin,NMC,1.521680196,8627.106625,284057.436,22424088.04,0,52.1427,628,7,14736400,14736400,2023-02-18T05:11:00.000Z
Dacxi,DACXI,0.00330127,107849.8925,3365719.092,22122148.48,0,31.401,629,7,6701101875,10000000000,2023-02-18T05:11:00.000Z
Choise.com,CHO,0.815050699,2785881.345,50853634.7,22051078.48,0,-9.4778,630,11,27054855,1000000000,2023-02-18T05:11:00.000Z
HELLO,HELLO,0.041334301,6455335.747,117891374.5,22018967.75,0,833.5079,631,8,532704491.6,1000000000,2023-02-18T05:11:00.000Z
DeepBrain Chain,DBC,0.006876919,999418.1038,40581580.73,22006141.3,0.002,494.2614,632,12,3200000000,10000000000,2023-02-18T05:11:00.000Z
Wrapped NCG (Nine Chronicles Gold),WNCG,0.166675455,1436148.918,94229616.73,21921469.42,0,177.2703,633,27,131521881,357474541.5,2023-02-18T05:11:00.000Z
Celo Euro,CEUR,1.064247847,16342.47272,457466.8735,21884251.76,0,-0.6193,634,14,20563115.85,20563115.85,2023-02-18T05:11:00.000Z
DeRace,DERC,0.24179329,403149.6056,8033913.115,21841187.91,0,87.058,635,51,90330000,120000000,2023-02-18T05:11:00.000Z
MILC Platform,MLT,0.173182998,1024962.623,63280778.61,21548027.98,0,112.8337,636,21,124423460.9,200000000,2023-02-18T05:11:00.000Z
MAP Protocol,MAP,0.009760611,236183.5476,7755556.325,21523940.67,0,28.792,637,16,2205183690,10000000000,2023-02-18T05:11:00.000Z
dForce,DF,0.049744655,14752454.63,2243758333,21491299.33,0.0019,30.5732,638,52,432032331.9,999934977,2023-02-18T05:11:00.000Z
TrustSwap,SWAP,0.212995283,6289979.503,106307929.2,21298498.33,0.0019,27.7442,639,58,99995164.27,99995164.27,2023-02-18T05:11:00.000Z
GuildFi,GF,0.100342441,2011381.935,75020502.67,21153675.62,0,20.6491,640,32,210814839.4,1000000000,2023-02-18T05:11:00.000Z
Dock,DOCK,0.024731199,855799.0975,27881039.56,21116498.13,0.0019,68.7612,641,44,853840446.6,869619708.8,2023-02-18T05:11:00.000Z
CENNZnet,CENNZ,0.017544606,129865.7816,3783475.301,21053527.61,0,17.1097,642,8,1200000000,1200000000,2023-02-18T05:11:00.000Z
Ooki Protocol,OOKI,0.004758511,4219921.968,66367135.43,21034615.54,0,56.0778,643,34,4420419432,4777132702,2023-02-18T05:11:00.000Z
DEXTools,DEXT,0.217870215,438976.1354,13201914.31,20831525.65,0,64.1762,644,18,95614380.78,143551255,2023-02-18T05:11:00.000Z
Mango,MNGO,0.020693315,59947.08097,2169053.88,20693314.57,0,10.6328,645,20,1000000000,10000000000,2023-02-18T05:11:00.000Z
Waltonchain,WTC,0.252227764,1440818.35,23376994.64,20653113.38,0,35.3321,646,35,81882791.28,86858003,2023-02-18T05:11:00.000Z
Bonfida,FIDA,0.457870368,7298922.915,845850055.8,20480524.9,0.0018,53.3111,647,52,44729963.6,998729963.6,2023-02-18T05:11:00.000Z
Handshake,HNS,0.035852428,58016.65933,1127276.966,20459315.87,0.0018,43.5995,648,14,570653568.7,2040000000,2023-02-18T05:11:00.000Z
Aion,AION,0.040741343,1671846.146,50887039.1,20431990.35,0.0018,54.6148,649,23,501505081,501505081,2023-02-18T05:11:00.000Z
GYEN,GYEN,0.0074397,113557.281,3350579.064,20339858.45,0,-2.3228,650,22,2733961999,5396921683,2023-02-18T05:11:00.000Z
SpookySwap,BOO,2.152505524,624447.8941,24633332.29,20214029.39,0,73.0021,651,122,9390930.322,9390930.322,2023-02-18T05:11:00.000Z
Goldfinch,GFI,0.687899146,241413.4827,15142762.32,20042138.47,0,46.1302,652,18,29135286.17,114285714,2023-02-18T05:11:00.000Z
AirSwap,AST,0.113596663,545372.0083,37961176.56,19820292.76,0.0018,35.3862,653,28,174479533.5,500000000,2023-02-18T05:11:00.000Z
Aleph.im,ALEPH,0.079950008,2563604.368,27437977.17,19765279.65,0.0018,26.4323,654,33,247220482.1,500000000,2023-02-18T05:11:00.000Z
Clearpool,CPOOL,0.060299557,830136.6837,25417304.75,19757386.99,0,84.5838,655,13,327653931.5,1000000000,2023-02-18T05:11:00.000Z
Kunci Coin,KUNCI,0.015990282,1074948.059,40186281.89,19709370.97,0,-41.5285,656,25,1232584338,39999999998,2023-02-18T05:11:00.000Z
Haven Protocol,XHV,0.677030051,122369.5722,3950604.163,19656141.04,0.0018,4.8454,657,10,29032893,29032893,2023-02-18T05:11:00.000Z
Viberate,VIB,0.097745533,3597729.289,222903417.4,19513429.42,0.0017,41.9203,658,25,199635000,200000000,2023-02-18T05:11:00.000Z
Nestree,EGG,0.007132764,336520.2701,8859810.494,19086424.78,0,21.3787,659,4,2675880474,2994901340,2023-02-18T05:11:00.000Z
Samoyedcoin,SAMO,0.005213564,3298146.009,205290267,19066703.78,0,89.7007,660,30,3657134467,4746913623,2023-02-18T05:11:00.000Z
Walken,WLKN,0.05221215,2121230.264,74106880.88,19006310.35,0,29.6911,661,11,364020835.3,2000000000,2023-02-18T05:11:00.000Z
Crust Network,CRU,2.037628193,25821700.58,727840124.1,18838520.61,0,247.6907,662,35,9245318,24483885.71,2023-02-18T05:11:00.000Z
DAFI Protocol,DAFI,0.0296911,806394.843,20696344.83,18696121.15,0,1537.9104,663,18,629687731.7,2250000000,2023-02-18T05:11:00.000Z
HyperDAO,HDAO,0.005476063,42758.22089,1278400.429,18618615.07,0,27.6301,664,10,3400000000,5000000000,2023-02-18T05:11:00.000Z
Petals,PTS,0.001317265,12431.22297,384142.8916,18606346.58,0,-3.4461,665,2,14124978750,1E+11,2023-02-18T05:11:00.000Z
Pluton,PLU,9.956859047,212316.7223,6646905.39,18440097.98,0.0016,14.7457,666,16,1851999.5,20000000,2023-02-18T05:11:00.000Z
Tamadoge,TAMA,0.017798624,5612201.854,86216105.59,18250356.95,0,19.6609,667,26,1025380201,1418004176,2023-02-18T05:11:00.000Z
ZKSpace,ZKS,0.092361017,1870540.808,294154098,18235759.1,0.0016,109.7767,668,40,197440000,1000000000,2023-02-18T05:11:00.000Z
Kleros,PNK,0.02696536,203745.2696,20389789.32,18218520.06,0.0016,11.1028,669,30,675626801.5,764626704,2023-02-18T05:11:00.000Z
BitMart Token,BMX,0.104752651,2286875.581,72381638.15,18197415.22,0,11.5431,670,5,173717945.2,640881616,2023-02-18T05:11:00.000Z
Prosper,PROS,0.624898666,3311218.54,1484425344,18110792.94,0,49.2671,671,54,28981967.67,100000000,2023-02-18T05:11:00.000Z
Kambria,KAT,0.008212168,572065.8798,17360920.05,17952299.62,0.0016,1015.1571,672,8,2186060823,3098854700,2023-02-18T05:11:00.000Z
Metronome,MET,1.253829214,17113.71426,497799.9521,17929217.99,0.0016,37.7835,673,15,14299569.5,14377915.31,2023-02-18T05:11:00.000Z
ForTube,FOR,0.022418722,2866720.314,48989969.01,17822883.87,0.0016,42.3381,674,47,795000000,1000000000,2023-02-18T05:11:00.000Z
OpenDAO,SOS,1.76E-07,2003790.75,41119030.95,17625622.82,0.0016,18.4908,675,49,1E+14,7.35459E+13,2023-02-18T05:11:00.000Z
Hacken Token,HAI,0.037073507,4916724.765,67053301.72,17586624.77,0,143.6811,676,37,474371758,1000000000,2023-02-18T05:11:00.000Z
Somnium Space Cubes,CUBE,1.400280564,70197.08786,1872085.773,17503507.05,0,141.3982,677,8,12500000,100000000,2023-02-18T05:11:00.000Z
StreamCoin,STRM,0.012412859,8885970.712,342776843.2,17481457.41,0,-12.6641,678,118,1408334519,3909125167,2023-02-18T05:11:00.000Z
Hillstone Finance,HSF,0.580490033,622869.3711,28435932.13,17421359.79,0,-45.8111,679,5,30011471,100000000,2023-02-18T05:11:00.000Z
Galatasaray Fan Token,GAL,4.242228041,2768856.239,57888296.5,17368691.25,0,71.462,680,14,4094238,10000000,2023-02-18T05:11:00.000Z
Elitium,EUM,0.615172918,65174.80596,3302105.413,17173400.02,0,-4.4099,681,5,27916378.51,332200000,2023-02-18T05:11:00.000Z
Anchor Protocol,ANC,0.048809973,5344917.452,524417234.3,17102128.64,0.0015,58.8527,682,66,350381852.3,1000000000,2023-02-18T05:11:00.000Z
MEVerse,MEV,0.010105943,206936.3096,5082903.584,17045138.1,0,11.6589,683,7,1686645035,2000000000,2023-02-18T05:11:00.000Z
apM Coin,APM,0.019982583,5087883.12,157822392.1,17035151.68,0.0015,25.7953,684,11,852500000,1812500000,2023-02-18T05:11:00.000Z
TABOO TOKEN,TABOO,0.001734569,1254952.054,25186058.84,16968730.74,0,469.6146,685,12,9782678080,9782678080,2023-02-18T05:11:00.000Z
Saito,SAITO,0.015921113,198616.6602,8361106.934,16962489.6,0,-5.1569,686,28,1065408547,3000000000,2023-02-18T05:11:00.000Z
Assemble Protocol,ASM,0.014026694,703214.8182,20293952.65,16947118.56,0,80.0595,687,17,1208204761,1490625000,2023-02-18T05:11:00.000Z
DAD,DAD,0.030398654,1522489.802,64446354.62,16668592.4,0,38.3096,688,6,548333236,1000000000,2023-02-18T05:11:00.000Z
Gelato,GEL,0.215012475,279571.5083,9749986.43,16615406.39,0,49.0099,689,27,77276476.14,420690000,2023-02-18T05:11:00.000Z
MATH,MATH,0.145287759,1296672.505,25159420.41,16614550.81,0,38.0281,690,32,114356164,200000000,2023-02-18T05:11:00.000Z
PolySwarm,NCT,0.010730596,539214.2285,47743301.18,16594406.18,0.0015,66.5888,691,30,1546457130,1885913076,2023-02-18T05:11:00.000Z
Dora Factory,DORA,3.429525288,1424334.998,18617336.51,16554469.41,0,13.3726,692,34,4827043.984,10000000,2023-02-18T05:11:00.000Z
